date,open,high,low,close,volume
2024-10-18,3780.3143,3998.2140,3765.1615,3925.2340,31295883400
2024-10-21,3946.9016,3979.2638,3896.1650,3935.1974,29118563400
2024-10-22,3923.7443,3965.9084,3917.5218,3957.7755,22343339600
2024-10-23,3955.3191,4012.1795,3939.0986,3973.2089,24587394900
2024-10-24,3950.8987,3957.9832,3914.0887,3928.8334,17472406200
2024-10-25,3931.3205,3992.8918,3921.9396,3956.4210,21069488500
2024-10-28,3953.1063,3964.1569,3917.2042,3964.1569,21616041500
2024-10-29,3970.0080,3991.3091,3921.5795,3924.6490,21729398400
2024-10-30,3904.1595,3926.0581,3864.3051,3889.4487,21943662600
2024-10-31,3888.4229,3923.8997,3859.1079,3891.0396,30063671800
2024-11-01,3882.4579,3933.2204,3879.9588,3890.0203,30798648100
2024-11-04,3897.7144,3944.7619,3891.2109,3944.7619,22923906000
2024-11-05,3937.6228,4046.6977,3925.4138,4044.5725,31686279400
2024-11-06,4051.2891,4091.7031,4002.5027,4024.2831,33580793800
2024-11-07,3987.2665,4146.1510,3984.6652,4145.6952,34143641400
2024-11-08,4192.0794,4200.9080,4094.1631,4104.0470,33235038500
2024-11-11,4066.9336,4132.5111,4048.0390,4131.1312,28959422700
2024-11-12,4133.3528,4181.7096,4060.7936,4085.7430,29777808600
2024-11-13,4059.5898,4121.0735,4059.5898,4110.8901,24048409900
2024-11-14,4101.2228,4118.1686,4034.9441,4039.6191,23015278400
2024-11-15,4025.6482,4049.0710,3968.8308,3968.8308,24739946300
2024-11-18,3982.1036,4034.0596,3931.1872,3950.3806,30677794600
2024-11-19,3954.6038,3979.1505,3896.7493,3976.8912,24294646500
2024-11-20,3966.1238,4001.0847,3958.3383,3985.7727,18459937200
2024-11-21,3979.4554,3999.5693,3966.0658,3989.2979,16612592700
2024-11-22,3984.2435,3990.2647,3865.6989,3865.6989,21628580900
2024-11-25,3875.6126,3889.7069,3812.3179,3848.0909,19070295300
2024-11-26,3836.2590,3875.2290,3833.2842,3840.1847,14989244100
2024-11-27,3829.3442,3907.1640,3817.9125,3907.0447,17413609600
2024-11-28,3904.2525,3908.3918,3866.0136,3872.5505,15011729100
2024-11-29,3869.8903,3962.7002,3869.8903,3916.5832,18765671300
2024-12-02,3909.7029,3955.1252,3902.1697,3947.6320,19728978400
2024-12-03,3946.7034,3963.9474,3922.8425,3951.8912,18249686700
2024-12-04,3948.1300,3957.3650,3917.7467,3930.5568,17462631800
2024-12-05,3916.5638,3936.3358,3910.0834,3921.5881,13853403800
2024-12-06,3923.8954,3995.1168,3923.8954,3973.1405,19205790700
2024-12-09,3970.6628,3995.5116,3948.4206,3966.5708,17595995800
2024-12-10,4094.0500,4098.3804,3988.9676,3995.6369,25346379500
2024-12-11,3988.0179,4005.3253,3977.3522,3988.8308,17725284600
2024-12-12,3987.1525,4031.7441,3981.3485,4028.5048,18162177700
2024-12-13,4000.9854,4000.9854,3931.7392,3933.1808,23035307900
2024-12-16,3930.7807,3938.7595,3901.6465,3911.8416,17851125100
2024-12-17,3908.1263,3955.9450,3908.1263,3922.0334,16093909000
2024-12-18,3934.5425,3956.1441,3933.9693,3941.8900,15773832100
2024-12-19,3911.8901,3954.3491,3899.7479,3945.4635,16108104000
2024-12-20,3937.4722,3958.6336,3923.2562,3927.7441,15498649600
2024-12-23,3928.1493,3965.8502,3928.1493,3933.5718,19006736200
2024-12-24,3934.9422,3985.8588,3934.7338,3983.6882,16149458900
2024-12-25,3987.9557,4007.7626,3969.4766,3985.6291,15939074700
2024-12-26,3981.7317,3991.5331,3965.5461,3987.4801,14342528600
2024-12-27,3987.0189,4007.1314,3970.9365,3981.0307,16926866600
2024-12-30,3976.7004,4005.7780,3976.7004,3999.0549,16461248500
2024-12-31,3995.8705,4004.3462,3934.9109,3934.9109,18392839700
2025-01-02,3931.8155,3934.2034,3796.3389,3820.3952,21789872400
2025-01-03,3825.2426,3835.9353,3767.6653,3775.1648,17534267600
2025-01-06,3775.9902,3788.8489,3743.0727,3768.9697,15094667000
2025-01-07,3760.8660,3797.6020,3749.0581,3796.1055,14645577900
2025-01-08,3781.2610,3810.7355,3731.1887,3789.2153,16916696800
2025-01-09,3780.7341,3795.2608,3768.6810,3779.8773,12979400200
2025-01-10,3778.8928,3786.8069,3732.4806,3732.4806,13752317100
2025-01-13,3704.4442,3737.8852,3704.1073,3722.5130,13644619900
2025-01-14,3728.5561,3826.6399,3718.8768,3820.5395,17066465700
2025-01-15,3810.0353,3816.8284,3790.1655,3796.0260,14147552000
2025-01-16,3812.1935,3842.9470,3776.2861,3800.3836,14450587100
2025-01-17,3788.3729,3831.6404,3780.2133,3812.3429,12662196100
2025-01-20,3835.3042,3858.6677,3821.9815,3829.6764,13958127700
2025-01-21,3850.3563,3850.9106,3817.1214,3832.6145,14121840600
2025-01-22,3823.9447,3823.9447,3783.1438,3797.0166,13725506200
2025-01-23,3829.0462,3864.2585,3801.8531,3803.7439,18056955100
2025-01-24,3793.8498,3847.6003,3793.4836,3832.8637,14897172200
2025-01-27,3836.9578,3851.9969,3817.0802,3817.0802,14667077200
2025-02-05,3844.6998,3844.6998,3785.1620,3795.0848,15716830800
2025-02-06,3789.6086,3843.4942,3788.3196,3842.8314,16728817600
2025-02-07,3844.0574,3919.3499,3833.8685,3892.7028,22185770700
2025-02-10,3898.1023,3906.3678,3878.8314,3901.0618,18890304000
2025-02-11,3905.1594,3905.1594,3872.9087,3883.1352,16657490900
2025-02-12,3875.9596,3920.7229,3867.3538,3919.8617,16422854000
2025-02-13,3913.9044,3939.1978,3904.9845,3905.1398,17248587400
2025-02-14,3900.8274,3942.0356,3900.8274,3939.0085,17297645200
2025-02-17,3954.4147,3955.8959,3921.7017,3947.3983,21358824600
2025-02-18,3942.5761,3965.4232,3901.8675,3912.7829,20942510100
2025-02-19,3906.2201,3943.6742,3904.1455,3940.1602,18282951700
2025-02-20,3934.6503,3940.6780,3916.1772,3928.8959,16389523600
2025-02-21,3938.0518,3981.0480,3927.7874,3978.4440,22740033000
2025-02-24,3972.4831,3995.9456,3949.2309,3969.7169,22081061800
2025-02-25,3933.6360,3955.4336,3915.6527,3925.6505,17810858000
2025-02-26,3931.8420,3960.3298,3925.3664,3959.9413,19106250100
2025-02-27,3961.0635,3973.9323,3933.4611,3968.1159,20288796300
2025-02-28,3950.1866,3972.4813,3886.3994,3890.0487,19810414700
2025-03-03,3899.6962,3930.0048,3872.5872,3888.4738,17762316600
2025-03-04,3865.9939,3890.4235,3855.7254,3885.2208,14985096700
2025-03-05,3887.7992,3906.4214,3877.0188,3902.5706,15865275100
2025-03-06,3923.3827,3964.4942,3917.0833,3956.2369,19396091500
2025-03-07,3944.9145,3967.0743,3935.0464,3944.0143,16673237500
2025-03-10,3945.5795,3949.1448,3905.1270,3928.8018,15276523200
2025-03-11,3890.4305,3941.4157,3889.4298,3941.4157,14475440200
2025-03-12,3946.8623,3953.6125,3921.4736,3927.2315,15673219000
2025-03-13,3925.7439,3939.2854,3897.3758,3911.5793,15653644300
2025-03-14,3919.6159,4014.1586,3919.6159,4006.5567,21613900300
2025-03-17,4020.6402,4021.7278,3992.2563,3996.7876,16220291100
2025-03-18,4011.7794,4016.8730,3995.9602,4007.7229,14020849600
2025-03-19,4004.8251,4025.2990,3989.5120,4010.1680,14441942800
2025-03-20,4011.0588,4012.0416,3969.9259,3974.9918,13375467000
2025-03-21,3966.5146,3983.1476,3904.7674,3914.6956,16590529400
2025-03-24,3916.1136,3938.1826,3907.1999,3934.8486,15223467400
2025-03-25,3937.8975,3946.3574,3921.5287,3932.2951,14047539900
2025-03-26,3930.2073,3942.0260,3916.8607,3919.3566,13116418700
2025-03-27,3911.3841,3952.9852,3903.6520,3932.4117,12679373800
2025-03-28,3930.7763,3934.2336,3907.3840,3915.1662,12635621400
2025-03-31,3905.9815,3928.4482,3872.4030,3887.3056,16679852300
2025-04-01,3892.7794,3905.2622,3882.4045,3887.6841,14038027400
2025-04-02,3884.4181,3900.4949,3877.1599,3884.3858,11304317500
2025-04-03,3843.4177,3883.7025,3843.4177,3861.5034,14259978900
2025-04-07,3675.2017,3707.7771,3514.1165,3589.4406,31257858600
2025-04-08,3597.9859,3650.7590,3583.8746,3650.7590,28019731200
2025-04-09,3606.1036,3686.7943,3587.3368,3686.7943,26230570800
2025-04-10,3749.1262,3756.1386,3708.8194,3735.1151,22725222700
2025-04-11,3730.3148,3762.3653,3708.4617,3750.5167,16875969100
2025-04-14,3772.0407,3776.6344,3754.0330,3759.1422,16446240300
2025-04-15,3756.4788,3764.4860,3737.8495,3761.2348,13400604000
2025-04-16,3757.8757,3775.1661,3721.6025,3772.8204,15635900600
2025-04-17,3755.0862,3779.1253,3749.5040,3772.2221,12237100200
2025-04-18,3760.0425,3782.0443,3754.4072,3772.5230,10294850900
2025-04-21,3768.1421,3790.1782,3763.1383,3784.8806,12135573000
2025-04-22,3780.1122,3799.2295,3778.0791,3783.9522,12568825700
2025-04-23,3803.4295,3807.9536,3780.5183,3786.8824,13198687000
2025-04-24,3787.4590,3807.2599,3775.2070,3784.3574,11716456000
2025-04-25,3792.0838,3801.5765,3780.7772,3786.9937,12459113300
2025-04-28,3786.3867,3792.0082,3772.8029,3781.6188,12514509100
2025-04-29,3776.0025,3785.3157,3768.0311,3775.0767,11151469400
2025-04-30,3775.8306,3787.5639,3768.7573,3770.5705,14368165800
2025-05-06,3794.3757,3809.0939,3782.7770,3808.5424,15852045900
2025-05-07,3861.5767,3863.6776,3814.9868,3831.6270,16117229900
2025-05-08,3820.5481,3867.3313,3816.2642,3852.8963,12495983300
2025-05-09,3848.6187,3853.6632,3836.5349,3846.1566,11938952600
