日期,="沪深300.收盘点位",="宏观.中债-十年期收益率(右1)",="宏观.月度社会融资增长率 / 3.6

(右1)",="宏观.大陆 - M2增长率 / 3.28
"
2016-05-31,,,=0.0350,=0.0360
2016-05-27,=3062.4993,=0.0295,,
2016-05-20,=3078.2183,=0.0295,,
2016-05-13,=3074.9351,=0.0290,,
2016-05-06,=3130.3544,=0.0290,,
2016-04-30,,,=0.0364,=0.0390
2016-04-29,=3156.7451,=0.0289,,
2016-04-22,=3174.9012,=0.0293,,
2016-04-15,=3272.2053,=0.0292,,
2016-04-08,=3185.7258,=0.0292,,
2016-04-01,=3221.8948,=0.0284,,
2016-03-31,,,=0.0372,=0.0409
2016-03-25,=3197.8169,=0.0283,,
2016-03-18,=3171.9630,=0.0282,,
2016-03-11,=3018.2844,=0.0285,,
2016-03-04,=3093.8895,=0.0290,,
2016-02-29,,,=0.0353,=0.0405
2016-02-26,=2948.0306,=0.0286,,
2016-02-19,=3051.5850,=0.0283,,
2016-02-14,,=0.0282,,
2016-02-06,,=0.0285,,
2016-02-05,=2963.7894,,,
