日期,成交金额-上海(亿元),成交金额-深圳(亿元),全部成交金额(亿元),融资买入额(亿元),融资买入额占比(%)
2022-01-31,82773.0,117864.3776,200637.3776,13171.57,6.564863515241639
2022-02-28,62718.0,87870.24464,150588.24464,10130.369999999999,6.727198410618248
2022-03-31,100793.0,132990.0966,233783.0966,15521.79,6.639397897341396
2022-04-30,76582.0,91039.54078642,167621.54078642,10375.41,6.189783217194107
2022-05-31,71842.0,87702.52683696,159544.52683696,10681.01,6.694689070039376
2022-06-30,105434.0,126528.22803684,231962.22803683998,17727.61,7.64245547649444
2022-07-31,87952.0,123507.61818093,211459.61818093,15033.74,7.109508722907447
2022-08-31,95167.0,136588.40943015,231755.40943015,15234.58,6.573559615052538
2022-09-30,65969.0,87291.38828049,153260.38828049,8877.82,5.792638332451714
2022-10-31,54579.0,72443.99527497,127022.99527497,7988.36,6.288908541880459
2022-11-30,86190.0,118011.95728513,204201.95728513,14633.2,7.1660429677309425
2022-12-31,72556.0,100700.07193429,173256.07193429,11869.63,6.850917181420191
2023-01-31,53115.0,73305.87139343,126420.87139343,9024.56,7.138504821656371
2023-02-28,72304.0,107198.1022,179502.1022,13730.69,7.649319886349498
2023-03-31,91760.0,122121.94702232,213881.94702232,16869.46,7.887276245077178
2023-04-30,93940.0,122906.53697434,216846.53697433998,17707.85,8.166074610679818
2023-05-31,82536.0,103146.1672378,185682.1672378,13553.32,7.299203903971292
2023-06-30,78333.0,113954.53463634,192287.53463634,13497.94,7.019664600478503
2023-07-31,73334.0,104785.06454786,178119.06454786,12205.72,6.852562375051304
2023-08-31,83454.0,106342.05923365,189796.05923364998,13103.12,6.903789284618021
2023-09-30,60617.0,83325.63234166,143942.63234166,10975.36,7.624815401422599
2023-10-31,57090.0,83632.45513351,140722.45513351,11217.2,7.971151433762093
2023-11-30,77887.0,115384.91832995,193271.91832995001,15678.79,8.112295948360941
2023-12-31,69258.0,92377.78827126,161635.78827125998,11775.61,7.285273964351241
2024-01-31,72612.0,87569.79244597,160181.79244597,11105.1,6.93281042147521
2024-02-29,64763.0,77626.31181085,142389.31181085,11190.08,7.858792108543165
2024-03-31,89951.0,122331.81592492,212282.81592492,19207.170000000002,9.047915591431186
2024-04-30,81318.0,101293.37933266,182611.37933266,14887.220000000001,8.152405427528265
2024-05-31,74425.0,94616.43499997,169041.43499997002,14342.26,8.484464178858008
2024-06-30,61069.0,75919.9608269,136988.9608269,10828.36,7.904549340791609
2024-07-31,67979.0,82106.61504694,150085.61504694,11962.89,7.9707105815960775
2024-08-31,56752.0,74156.37047186,130908.37047186,9910.96,7.57091388753514
2024-09-30,65217.0,85739.35072172,150956.35072172,13060.59070637,8.651898806461283
2024-10-31,143381.0,213400.13313662,356781.13313662,36617.29376219,10.263237139327199
2024-11-30,163636.0,241682.72303958,405318.72303958004,40718.87965774,10.04613834573927
2024-12-31,139375.0,210936.81186493,350311.81186493,32691.26037298,9.332046270133992
2025-01-31,86575.0,127973.46256776,214548.46256776,19131.93294249,8.917301346984779
2025-02-28,126678.0,199161.66823759,325839.66823759,33030.217828,10.136954167261063
2025-03-31,125269.0,187994.03960725,313263.03960725,29748.4355053,9.496311962814625
2025-04-30,108319.0,145147.21714878,253466.21714878,21906.842907809998,8.642904428936612
2025-05-31,89268.0,135758.74035247,225026.74035247,19694.26249534,8.751965417306383
2025-06-30,102087.7329,159380.82132864,261468.55422864002,23555.73477516,9.009012515731353
2025-07-31,156067.0,214274.02199878,370341.02199877996,36894.937709159996,9.962422609851075
